ticker,expiration,option_type,snapshot_time_utc,source,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,bid_ask_spread,spread_pct,expiration_datetime_utc,snapshot_datetime_utc,days_to_expiry,time_to_maturity,underlying_price,moneyness,log_moneyness,flag_missing_bid_ask,flag_negative_bid_ask,flag_crossed_market,flag_zero_bid,flag_zero_ask,flag_invalid_mid,flag_wide_spread,flag_missing_strike,flag_nonpositive_strike,flag_missing_expiration,flag_expired_contract,flag_low_liquidity,is_excluded,exclusion_reason,IV_ask,IV_bid,IV_mid,IV_range,IV_relative_range,moneyness_bucket,expiry_bucket,liquidity_bucket,delta_ask,delta_bid,Delta_mid,gamma_ask,gamma_bid,Gamma_mid,rho_ask,rho_bid,Rho_mid,theta_ask,theta_bid,Theta_mid,vega_ask,vega_bid,Vega_mid,Delta_range,Gamma_range,Vega_range,Theta_range,Rho_range
SPY,2026-06-21,call,2026-06-14T16:00:00+00:00,sample,SPY20260621C00540000,2026-06-14T16:00:00+00:00,540.0,66.6,0.0,70.76,0.0,0.0,260,2020,0.2538,True,REGULAR,USD,35.38,70.76,2.0,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.1111111111111112,-0.10536051565782628,False,False,False,True,False,False,True,False,False,False,False,False,True,zero bid,,,,,,far_below_spot,8_to_30_days,very_wide_spread,,,,,,,,,,,,,,,,,,,,
SPY,2026-06-21,put,2026-06-14T16:00:00+00:00,sample,SPY20260621P00540000,2026-06-14T16:00:00+00:00,540.0,6.6,6.19,7.01,0.0,0.0,260,2020,0.2538,False,REGULAR,USD,6.6,0.8199999999999994,0.12424242424242415,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.1111111111111112,-0.10536051565782628,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.8453235982080384,0.8067842018664033,0.8262380643829054,0.03853939634163506,0.04664442126667098,far_below_spot,8_to_30_days,wide_spread,-0.17201736203953089,-0.16210771516007993,-0.16718606788737267,0.0035478094649503827,0.0035777361869915487,0.0035640261865743277,-2.212954915968872,-2.0771145314660893,-2.1465228253874935,-451.92092907368834,-415.03702392851176,-433.67278656375765,21.67685626123238,20.863094053746234,21.284286785709007,0.00990964687945095,2.9926722041166004e-05,0.8137622074861461,36.883905145176584,0.1358403845027829
SPY,2026-06-21,call,2026-06-14T16:00:00+00:00,sample,SPY20260621C00560000,2026-06-14T16:00:00+00:00,560.0,47.7,45.5,49.9,0.0,0.0,340,2180,0.2283,True,REGULAR,USD,47.7,4.399999999999999,0.0922431865828092,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0714285714285714,-0.06899287148695143,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.7499114821662588,0.5716085629444664,0.6641217331615779,0.17830291922179242,0.2684792716735444,below_spot,8_to_30_days,moderate_spread,0.7611410427369276,0.8165346048223951,0.7848709221790466,0.004863360699348846,0.005464368406122134,0.005176816946296242,8.167234893713259,8.92287597714734,8.49726805812147,-508.57042926351875,-339.1502316119265,-427.91837580741355,26.36085553439069,22.576245266641095,24.849835486385672,0.05539356208546753,0.0006010077067732881,3.7846102677495956,169.42019765159228,0.7556410834340817
SPY,2026-06-21,put,2026-06-14T16:00:00+00:00,sample,SPY20260621P00560000,2026-06-14T16:00:00+00:00,560.0,7.7,7.35,8.05,0.0,0.0,340,2180,0.2283,False,REGULAR,USD,7.7,0.7000000000000011,0.09090909090909105,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0714285714285714,-0.06899287148695143,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.6958965904073364,0.668121483422829,0.6820824809986278,0.02777510698450747,0.040721038522851825,below_spot,8_to_30_days,moderate_spread,-0.22448450707580725,-0.2163460828415219,-0.2205040862845209,0.005062656569695749,0.005162680399874308,0.0051127613821436305,-2.8658823045958908,-2.7537883027871337,-2.8109049306884564,-435.59693866551873,-409.3326737659904,-422.5556898842114,25.464560974536308,24.9312293556182,25.206087298441233,0.008138424234285346,0.00010002383017855901,0.5333316189181083,26.264264899528314,0.11209400180875706
SPY,2026-06-21,call,2026-06-14T16:00:00+00:00,sample,SPY20260621C00580000,2026-06-14T16:00:00+00:00,580.0,28.8,27.93,29.67,0.0,0.0,420,2340,0.2037,True,REGULAR,USD,28.8,1.740000000000002,0.060416666666666737,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0344827586206897,-0.03390155167568134,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.5273144417461959,0.46833914068243854,0.49803768916915914,0.05897530106375737,0.1184153375262456,slightly_below_spot,8_to_30_days,moderate_spread,0.6921080099364899,0.7109441185689145,0.7009254560922135,0.007845994614409896,0.008583809401616491,0.008200089531755666,7.74179543297204,8.003639994240606,7.865482476024483,-408.12283454590863,-354.84695054989214,-381.7835211163101,29.90409668482596,29.057184929309106,29.518468437395256,0.018836108632424575,0.0007378147872065949,0.846911755516853,53.27588399601649,0.2618445612685658
SPY,2026-06-21,put,2026-06-14T16:00:00+00:00,sample,SPY20260621P00580000,2026-06-14T16:00:00+00:00,580.0,8.8,8.53,8.28,0.0,0.0,420,2340,0.2037,False,REGULAR,USD,8.405,-0.25,-0.0297441998810232,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0344827586206897,-0.03390155167568134,False,False,True,False,False,False,False,False,False,False,False,False,True,crossed market,,,,,,slightly_below_spot,8_to_30_days,tight_spread,,,,,,,,,,,,,,,,,,,,
SPY,2026-06-21,call,2026-06-14T16:00:00+00:00,sample,SPY20260621C00600000,2026-06-14T16:00:00+00:00,600.0,9.9,9.75,10.05,0.0,0.0,500,2500,0.18,False,REGULAR,USD,9.9,0.3000000000000007,0.030303030303030373,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.28929235564262235,0.2804400990884509,0.2848662273655366,0.008852256554171434,0.03107513528731623,near_atm,8_to_30_days,moderate_spread,0.5159883773366899,0.5159848977685582,0.5159847223867366,0.016207560059050694,0.016719167067993694,0.016459392168964786,6.014087316918555,6.0200686691451715,6.0170549216735045,-256.1358428532281,-248.67680160148453,-252.4063232154083,33.8896914097923,33.88970326734867,33.88970386494064,3.4795681317367766e-06,0.0005116070089429998,1.1857556373229272e-05,7.459041251743571,0.00598135222661611
SPY,2026-06-21,put,2026-06-14T16:00:00+00:00,sample,SPY20260621P00600000,2026-06-14T16:00:00+00:00,600.0,9.9,9.75,10.05,0.0,0.0,500,2500,0.18,False,REGULAR,USD,9.9,0.3000000000000007,0.030303030303030373,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.30350517347900763,0.2946529169248361,0.29907904520192186,0.008852256554171545,0.029598384427752148,near_atm,8_to_30_days,moderate_spread,-0.483975956741873,-0.4840023148142234,-0.4839907906266889,0.015448522141611467,0.01591268427776142,0.015677171218469264,-6.032007478189519,-6.026301747212973,-6.029174549876168,-244.1309735168109,-236.67198726902203,-240.40148783224691,33.88956971976818,33.8896596781217,33.889620365063436,2.6358072350407546e-05,0.00046416213614995476,8.995835352010317e-05,7.458986247788886,0.005705730976545809
SPY,2026-06-21,call,2026-06-14T16:00:00+00:00,sample,SPY20260621C00620000,2026-06-14T16:00:00+00:00,620.0,8.8,8.54,9.06,0.0,0.0,420,2340,0.203,False,REGULAR,USD,8.8,0.5200000000000014,0.05909090909090924,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,0.967741935483871,0.03278982282299097,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.49532357358568335,0.4785128691998889,0.4869337372237761,0.01681070438579446,0.03452359756717557,slightly_above_spot,8_to_30_days,moderate_spread,0.3370030612872887,0.3307445359299681,0.3339240774679014,0.008671415434868077,0.008910016476636359,0.00878922281968072,3.877813101374668,3.8128599441867803,3.8459422052865637,-390.6742798086161,-374.8263568949109,-382.77569238072454,31.04502454209779,30.81663015509992,30.933805971008635,0.006258525357320577,0.00023860104176828129,0.22839438699786996,15.847922913705247,0.06495315718788763
SPY,2026-06-21,put,2026-06-14T16:00:00+00:00,sample,SPY20260621P00620000,2026-06-14T16:00:00+00:00,620.0,28.8,27.94,29.66,0.0,0.0,420,2340,0.203,True,REGULAR,USD,28.8,1.7199999999999989,0.059722222222222184,2026-06-21 23:59:59+00:00,2026-06-14 16:00:00+00:00,7.33332175925926,0.020077540750880928,600.0,0.967741935483871,0.03278982282299097,False,False,False,False,False,False,False,False,False,False,False,False,False,retained,0.530441673314696,0.4751914196605216,0.502968929456791,0.055250253654174464,0.10984824393396432,slightly_above_spot,8_to_30_days,moderate_spread,-0.6509901990972058,-0.6705350175239848,-0.6602651916681563,0.008204960965088796,0.00895837086781697,0.008566240527418187,-8.437669206669145,-8.638582972087976,-8.532133944900503,-398.7408021168559,-346.904687754414,-373.0739119800019,31.457714925264092,30.76880609152018,31.141852190048162,0.01954481842677902,0.0007534099027281735,0.6889088337439127,51.83611436244189,0.20091376541883044
